t,bid_price,ask_price,bid_depth,trade_count
37.328610,99.987042,100.011740,510.874846,10.000000
70.023346,99.963580,100.003600,648.999228,10.000000
138.133017,99.985831,100.007552,706.038183,12.000000
157.310433,100.001370,100.021435,488.138526,13.000000
265.882451,100.002786,100.041278,610.533499,13.000000
292.770059,99.985628,100.011151,548.734130,7.000000
328.943638,99.981070,100.002071,525.749882,10.000000
395.661294,99.993093,100.017439,473.933638,11.000000
469.891124,99.991022,100.016438,513.712407,14.000000
492.565385,99.950333,99.978473,440.775856,8.000000
515.677670,99.958958,99.979316,674.327393,10.000000
525.210670,99.976625,99.999332,623.589107,13.000000
586.679746,99.965039,99.991463,517.944142,14.000000
603.147311,99.958243,99.983348,425.276586,9.000000
624.069794,99.990377,100.010562,389.189234,14.000000
731.671566,100.009970,100.033367,498.391430,12.000000
768.895096,99.965642,99.996903,653.844745,14.000000
801.771823,99.977161,100.017840,499.378287,6.000000
880.612401,100.001637,100.024031,410.655062,11.000000
914.384394,99.992897,100.016640,518.297130,16.000000
954.260540,99.972835,100.001234,591.923533,7.000000
1028.264443,99.959034,99.984734,492.309305,8.000000
1085.418622,99.936912,99.962139,530.838258,13.000000
1158.587041,99.925498,99.952172,508.408334,6.000000
1181.282602,99.927319,99.962389,441.651645,12.000000
1208.678781,99.933382,99.960078,411.547928,9.000000
1255.121052,99.917461,99.940291,464.695837,16.000000
1310.787347,99.897266,99.921615,395.068624,7.000000
1380.659390,99.917743,99.942593,364.586830,12.000000
1423.213981,99.950930,99.973574,443.047387,14.000000
1490.556657,99.946320,99.985361,467.582704,7.000000
1526.781097,99.947671,100.003324,507.246081,14.000000
1632.963140,99.984917,100.008975,452.761136,10.000000
1657.081513,99.982199,100.009566,505.088110,10.000000
1702.871883,99.940567,99.973911,605.271269,11.000000
1785.393725,99.949447,99.972717,454.164592,13.000000
1798.940026,99.943352,99.972917,431.594008,10.000000
1813.032022,99.973578,99.994497,461.315267,12.000000
1881.511348,99.945031,99.970929,612.761780,17.000000
1932.094432,99.957816,99.982423,399.297447,16.000000
2010.134102,99.949170,99.974528,539.388255,9.000000
2038.692285,99.927972,99.950047,637.476970,12.000000
2082.947482,99.917539,99.951056,490.151497,10.000000
2168.186316,99.954030,99.980527,427.090158,20.000000
2215.669035,99.943312,99.973566,464.248270,15.000000
2249.955996,99.927123,99.955026,463.697438,10.000000
2342.407048,99.922513,99.944997,469.175110,9.000000
2403.891352,99.920431,99.954679,590.660540,15.000000
