t,bid_price,ask_price,bid_depth,trade_count
0.000000,100.025592,100.047270,503.830056,11.000000
60.000000,100.015042,100.038816,533.464257,14.000000
120.000000,100.015659,100.051903,539.502364,17.000000
180.000000,100.025558,100.057074,588.408405,7.000000
240.000000,100.042073,100.071237,500.584288,11.000000
300.000000,100.061640,100.088206,459.594258,11.000000
360.000000,100.031512,100.064447,486.492664,12.000000
420.000000,100.013611,100.057735,455.870207,10.000000
480.000000,99.994369,100.034696,537.337498,14.000000
540.000000,100.017823,100.047884,609.413699,14.000000
600.000000,100.018085,100.047640,513.722036,12.000000
660.000000,100.027847,100.055026,345.959012,16.000000
720.000000,100.055328,100.075494,597.908588,11.000000
780.000000,100.066143,100.094593,412.835158,14.000000
840.000000,100.096059,100.125300,481.261389,12.000000
900.000000,100.131440,100.153092,440.106145,9.000000
960.000000,100.103228,100.140593,437.317994,12.000000
1020.000000,100.133772,100.158521,484.631089,14.000000
1080.000000,100.147503,100.177362,452.356134,16.000000
1140.000000,100.160719,100.194305,649.173189,5.000000
1200.000000,100.150353,100.172919,488.161116,12.000000
1260.000000,100.149731,100.181324,519.983143,4.000000
1320.000000,100.167448,100.188517,397.621587,19.000000
1380.000000,100.165289,100.200613,502.521628,8.000000
1440.000000,100.141286,100.170245,547.092722,14.000000
1500.000000,100.145986,100.167558,451.059411,7.000000
1560.000000,100.142117,100.176149,468.043829,11.000000
1620.000000,100.149504,100.176022,575.605617,6.000000
1680.000000,100.143012,100.165428,514.864864,12.000000
1740.000000,100.112759,100.141674,516.965294,14.000000
1800.000000,100.106061,100.135067,524.198252,12.000000
1860.000000,100.070057,100.096355,435.302594,16.000000
1920.000000,100.081597,100.110357,538.981394,13.000000
1980.000000,100.083946,100.105559,467.823493,11.000000
2040.000000,100.065593,100.085686,550.132611,16.000000
2100.000000,100.043306,100.075480,442.418855,8.000000
2160.000000,100.066010,100.090564,705.109109,8.000000
2220.000000,100.009321,100.039816,605.196075,9.000000
2280.000000,100.027981,100.049030,381.384122,9.000000
2340.000000,100.024997,100.060314,416.620539,6.000000
2400.000000,100.088275,100.111999,498.483191,19.000000
2460.000000,100.061786,100.086667,378.653455,10.000000
2520.000000,100.045323,100.073623,580.859872,14.000000
2580.000000,100.030192,100.062226,560.731380,6.000000
2640.000000,100.023817,100.050446,590.624526,13.000000
